Division,Fatal accidents,Fatalities,Year
Clarendon,18,20,2007
St. James,26,33,2007
Hanover,20,21,2007
Westmoreland,23,26,2007
Manchester,23,30,2007
St. Catherine South,29,37,2007
St. Catherine North,25,28,2007
St Andrew Central,15,16,2007
St Andrew North,6,6,2007
St Andrew South,20,21,2007
St. Ann,26,36,2007
Kingston Central,3,4,2007
Kingston Eastern,8,8,2007
Kingston Western,5,6,2007
St Elizabeth,16,18,2007
Trelawny,19,22,2007
St. Mary,6,6,2007
Portland,2,2,2007
St. Thomas,10,10,2007
Clarendon,27,35,2008
St. James,21,25,2008
Hanover,17,22,2008
Westmoreland,22,23,2008
Manchester,17,17,2008
St. Catherine South,31,31,2008
St. Catherine North,28,30,2008
St Andrew Central,20,22,2008
St Andrew North,9,9,2008
St Andrew South,14,15,2008
St. Ann,17,18,2008
Kingston Central,6,6,2008
Kingston Eastern,15,15,2008
Kingston Western,4,4,2008
St Elizabeth,15,15,2008
Trelawny,17,20,2008
St. Mary,7,11,2008
Portland,5,17,2008
St. Thomas,4,4,2008
Clarendon,27,30,2009
St. James,34,36,2009
Hanover,15,20,2009
Westmoreland,32,37,2009
Manchester,10,10,2009
St. Catherine South,20,23,2009
St. Catherine North,35,39,2009
St Andrew Central,10,10,2009
St Andrew North,5,5,2009
St Andrew South,16,18,2009
St. Ann,20,28,2009
Kingston Central,2,2,2009
Kingston Eastern,7,8,2009
Kingston Western,2,2,2009
St Elizabeth,24,30,2009
Trelawny,15,17,2009
St. Mary,15,18,2009
Portland,2,4,2009
St. Thomas,10,10,2009
Clarendon,23,27,2010
St. James,19,21,2010
Hanover,13,13,2010
Westmoreland,25,27,2010
Manchester,18,22,2010
St. Catherine South,16,16,2010
St. Catherine North,28,29,2010
St Andrew Central,18,19,2010
St Andrew North,13,15,2010
St Andrew South,25,26,2010
St. Ann,16,17,2010
Kingston Central,3,3,2010
Kingston Eastern,15,17,2010
Kingston Western,6,7,2010
St Elizabeth,22,22,2010
Trelawny,12,15,2010
St. Mary,13,13,2010
Portland,3,3,2010
St. Thomas,6,7,2010
Clarendon,19,29,2011
St. James,22,24,2011
Hanover,12,14,2011
Westmoreland,24,26,2011
Manchester,17,20,2011
St. Catherine South,25,28,2011
St. Catherine North,17,22,2011
St Andrew Central,15,18,2011
St Andrew North,6,6,2011
St Andrew South,19,19,2011
St. Ann,23,28,2011
Kingston Central,5,5,2011
Kingston Eastern,14,14,2011
Kingston Western,0,0,2011
St Elizabeth,13,13,2011
Trelawny,11,19,2011
St. Mary,10,12,2011
Portland,2,2,2011
St. Thomas,7,9,2011
Clarendon,16,16,2012
St. James,15,16,2012
Hanover,18,21,2012
Westmoreland,23,25,2012
Manchester,13,15,2012
St. Catherine South,21,22,2012
St. Catherine North,21,28,2012
St Andrew Central,9,11,2012
St Andrew North,9,9,2012
St Andrew South,20,20,2012
St. Ann,22,23,2012
Kingston Central,2,2,2012
Kingston Eastern,3,3,2012
Kingston Western,4,5,2012
St Elizabeth,9,9,2012
Trelawny,10,14,2012
St. Mary,10,11,2012
Portland,5,5,2012
St. Thomas,4,5,2012
Clarendon,16,17,2013
St. James,18,22,2013
Hanover,19,21,2013
Westmoreland,37,41,2013
Manchester,15,20,2013
St. Catherine South,20,20,2013
St. Catherine North,33,34,2013
St Andrew Central,15,15,2013
St Andrew North,5,5,2013
St Andrew South,16,16,2013
St. Ann,19,21,2013
Kingston Central,6,6,2013
Kingston Eastern,4,5,2013
Kingston Western,8,8,2013
St Elizabeth,10,12,2013
Trelawny,8,16,2013
St. Mary,17,20,2013
Portland,3,3,2013
St. Thomas,5,5,2013
Clarendon,21,26,2014
St. James,22,25,2014
Hanover,14,15,2014
Westmoreland,38,42,2014
Manchester,15,15,2014
St. Catherine South,28,32,2014
St. Catherine North,33,35,2014
St Andrew Central,17,19,2014
St Andrew North,10,12,2014
St Andrew South,13,14,2014
St. Ann,23,27,2014
Kingston Central,3,3,2014
Kingston Eastern,5,5,2014
Kingston Western,4,4,2014
St Elizabeth,16,17,2014
Trelawny,16,17,2014
St. Mary,8,9,2014
Portland,11,11,2014
St. Thomas,3,3,2014
Clarendon,35,36,2015
St. James,21,22,2015
Hanover,18,21,2015
Westmoreland,55,56,2015
Manchester,16,17,2015
St. Catherine South,23,23,2015
St. Catherine North,26,27,2015
St Andrew Central,21,23,2015
St Andrew North,11,11,2015
St Andrew South,20,24,2015
St. Ann,37,40,2015
Kingston Central,2,2,2015
Kingston Eastern,11,11,2015
Kingston Western,3,4,2015
St Elizabeth,19,19,2015
Trelawny,15,20,2015
St. Mary,12,12,2015
Portland,6,7,2015
St. Thomas,7,7,2015